,vintage.wine.winery.seo_name,vintage.wine.winery.name,vintage.wine.name,vintage.year,vintage.statistics.ratings_average,vintage.wine.region.name,vintage.wine.region.seo_name,vintage.wine.style.region.seo_name
14,domaine-chandon-de-briailles,Chandon de Briailles,Île des Vergelesses Pernand-Vergelesses 1er Cru Rouge,2017,4.2,Pernand-Vergelesses Premier Cru,pernand-vergelesses-premier-cru,cote-de-beaune
15,domaine-louis-max,Louis Max,Mercurey Les Rochelles,2016,4.0,Mercurey,mercurey,cote-chalonnaise
16,meo-camuzet,Méo-Camuzet,Fixin 1er Cru 'Clos du Chapitre',2015,4.3,Fixin 1er Cru 'Clos du Chapitre',fixin-le-clos-du-chapitre,cote-de-nuits
17,rene-bouvier,René Bouvier,Gevrey-Chambertin 'La Justice',2016,4.0,Gevrey-Chambertin,gevrey-chambertin,cote-de-nuits
18,rene-bouvier,René Bouvier,Gevrey-Chambertin 'La Justice',2017,4.4,Gevrey-Chambertin,gevrey-chambertin,cote-de-nuits
19,fr-domaine-cordier-pere-fils,Domaine Cordier Père & Fils,Vignes Blanches Pouilly-Fuissé,2014,4.2,Pouilly-Fuissé,pouilly-fuisse,maconnais
20,geantet-pansiot,Geantet-Pansiot,Marsannay Champs Perdrix,2014,3.7,Marsannay,marsannay,cote-de-nuits
21,bader-mimeur,Bader-Mimeur,Chateau de Chassagne-Montrachet Blanc,2016,4.1,Chassagne-Montrachet,chassagne-montrachet,cote-de-beaune
22,bader-mimeur,Bader-Mimeur,Chateau de Chassagne-Montrachet Rouge,2015,4.3,Chassagne-Montrachet,chassagne-montrachet,cote-de-beaune
23,bader-mimeur,Bader-Mimeur,Chateau de Chassagne-Montrachet Blanc,2009,4.0,Chassagne-Montrachet,chassagne-montrachet,cote-de-beaune
24,la-fert,Domaine de la Ferté,Givry,2016,3.8,Givry,givry,cote-chalonnaise
