,vintage.wine.winery.seo_name,vintage.wine.winery.name,vintage.wine.name,vintage.year,vintage.statistics.ratings_average,vintage.wine.region.name,vintage.wine.region.seo_name,vintage.wine.style.region.seo_name
2,chateau-cantemerle,Château Cantemerle,Les Allées de Cantemerle Haut-Médoc,2015,3.8,Haut-Médoc,haut-medoc,bordeaux
3,chateau-le-gay,Château Le Gay,Pomerol,2010,4.4,Pomerol,pomerol,bordeaux
4,chateau-gazin,Château Gazin,Pomerol,2000,4.3,Pomerol,pomerol,bordeaux
5,chateau-giscours,Château Giscours,Margaux (Grand Cru Classé),1989,4.4,Margaux,margaux,bordeaux
6,chateau-du-glana,Château du Glana,Saint-Julien,2015,3.9,Saint-Julien,saint-julien,bordeaux
7,chateau-gloria,Château Gloria,Saint-Julien,2014,3.9,Saint-Julien,saint-julien,bordeaux
8,chateau-ducru-beaucaillou,Château Ducru-Beaucaillou,Saint-Julien (Grand Cru Classé),1990,4.3,Saint-Julien,saint-julien,bordeaux
9,chateau-duhart-milon,Château Duhart-Milon,Pauillac (Grand Cru Classé),2004,4.3,Pauillac,pauillac,bordeaux
10,chateau-duhart-milon,Château Duhart-Milon,Pauillac (Grand Cru Classé),1996,4.3,Pauillac,pauillac,bordeaux
11,branaire-ducru,Château Branaire-Ducru,Duluc de Branaire-Ducru Saint-Julien (Chateau Duluc),2014,4.0,Saint-Julien,saint-julien,bordeaux
12,la-conseillante,Château La Conseillante,Duo de Conseillante Pomerol,2014,4.0,Pomerol,pomerol,bordeaux
13,chateau-l-eglise-clinet,Château l'Eglise-Clinet,Pomerol,2013,4.3,Pomerol,pomerol,bordeaux
14,cheval-blanc,Château Cheval Blanc,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2007,4.6,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
15,cheval-blanc,Château Cheval Blanc,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2004,4.6,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
16,cheval-blanc,Château Cheval Blanc,Saint-Émilion Grand Cru (Premier Grand Cru Classé),1982,4.7,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
